"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AY1","AY2","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"36871099999","2020-07-18T15:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","130,1,N,0010,1","99999,9,9,N","008000,1,9,9","+0243,1","+0110,1","10017,1",,,,,"240,M,+0352,1","99999,9,09140,1","2,1,003,1,+999,9",,,"SYN05836871 36/58 /1301 10243 20110 39140 40017 52003 333 10352=",
"36871099999","2020-07-18T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0247,1","+0060,1","10027,1",,,,,"120,M,+0352,1","99999,9,09149,1","2,1,009,1,+999,9",,,"SYN05836871 36/70 /0000 10247 20060 39149 40027 52009 333 10352=",
"36871099999","2020-07-18T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0205,1","+0112,1","10040,1",,,,,,"99999,9,09150,1","2,1,001,1,+999,9",,,"SYN04836871 46/70 /0000 10205 20112 39150 40040 52001=",
"36871099999","2020-07-19T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","020000,1,9,9","+0241,1","+0069,1","10046,1",,,,,,"99999,9,09165,1","2,1,015,1,+999,9",,,"SYN04836871 46/70 /2301 10241 20069 39165 40046 52015=",
"36871099999","2020-07-19T03:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0225,1","+0136,1","10067,1",,"0001,3,1,000050,9,9",,,,"99999,9,09181,1","2,1,016,1,+999,9",,,"SYN08036871 36/70 /0000 10225 20136 39181 40067 52016 333 4/997 55042 555 20205 7000/=",
"36871099999","2020-07-19T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0294,1","+0128,1","10025,1",,,,,,"99999,9,09162,1","7,1,019,1,+999,9",,,"SYN04836871 36/70 /0000 10294 20128 39162 40025 57019=",
"36871099999","2020-07-19T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","150,1,N,0020,1","99999,9,9,N","019000,1,9,9","+0292,1","+0066,1","10023,1",,,,,,"99999,9,09158,1","7,1,004,1,+999,9",,,"SYN04836871 46/69 /1502 10292 20066 39158 40023 57004=",
"36871099999","2020-07-19T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","110,1,N,0010,1","99999,9,9,N","018000,1,9,9","+0282,1","+0113,1","10018,1",,,,,,"99999,9,09152,1","7,1,006,1,+999,9",,,"SYN04836871 46/68 /1101 10282 20113 39152 40018 57006=",
"36871099999","2020-07-19T15:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","008000,1,9,9","+0245,1","+0081,1","10025,1",,,,,"240,M,+0339,1","99999,9,09147,1","7,1,005,1,+999,9",,,"SYN05836871 36/58 /0000 10245 20081 39147 40025 57005 333 10339=",
"36871099999","2020-07-19T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","+0189,1","+0086,1","10033,1",,,,,"120,M,+0339,1","99999,9,09138,1","7,1,009,1,+999,9",,,"SYN05836871 36/60 /0000 10189 20086 39138 40033 57009 333 10339=",
"36871099999","2020-07-19T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0170,1","+0079,1","10026,1",,,,,,"99999,9,09126,1","7,1,012,1,+999,9",,,"SYN04836871 46/70 /0000 10170 20079 39126 40026 57012=",
"36871099999","2020-07-20T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","019000,1,9,9","+0179,1","+0079,1","10012,1",,,,,,"99999,9,09116,1","7,1,010,1,+999,9",,,"SYN04836871 46/69 /0000 10179 20079 39116 40012 57010=",
"36871099999","2020-07-20T03:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","019000,1,9,9","+0261,1","+0095,1","09991,1",,"0001,3,1,000050,9,9",,,,"99999,9,09121,1","2,1,005,1,+999,9",,,"SYN08036871 36/69 /0000 10261 20095 39121 49991 52005 333 4/997 55036 555 20170 7000/=",
"36871099999","2020-07-20T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,N","020000,1,9,9","+0326,1","+0060,1","09953,1",,,,,,"99999,9,09103,1","7,1,018,1,+999,9",,,"SYN04836871 36/70 /0901 10326 20060 39103 49953 57018=",
"36871099999","2020-07-20T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0288,1","+0095,1","09961,1",,,,,,"99999,9,09101,1","7,1,002,1,+999,9",,,"SYN04836871 46/70 /0000 10288 20095 39101 49961 57002=",
"36871099999","2020-07-20T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","019000,1,9,9","+0282,1","+0100,1","09967,1",,,,,,"99999,9,09105,1","2,1,004,1,+999,9",,,"SYN04836871 46/69 /0000 10282 20100 39105 49967 52004=",
"36871099999","2020-07-20T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","016000,1,9,9","+0247,1","+0050,1","09980,1","00,0005,3,1",,,,"120,M,+0327,1","99999,9,09106,1","2,1,002,1,+999,9",,,"SYN06436871 16/66 /1401 10247 20050 39106 49980 52002 69950 333 10327=",
"36871099999","2020-07-20T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","008000,1,9,9","+0198,1","+0097,1","10005,1",,,,,,"99999,9,09116,1","2,1,010,1,+999,9",,,"SYN04836871 46/58 /0000 10198 20097 39116 40005 52010=",
"36871099999","2020-07-21T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","011000,1,9,9","+0212,1","+0085,1","09997,1",,,,,,"99999,9,09112,1","7,1,004,1,+999,9",,,"SYN04836871 46/61 /0000 10212 20085 39112 49997 57004=",
"36871099999","2020-07-21T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0245,1","+0111,1","10010,1","00,0001,3,1",,,,,"99999,9,09134,1","2,1,019,1,+999,9",,,"SYN05436871 16/70 /0000 10245 20111 39134 40010 52019 69910=",
"36871099999","2020-07-21T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0317,1","+0074,1","09956,1",,,,,,"99999,9,09103,1","7,1,031,1,+999,9",,,"SYN04836871 46/70 /0000 10317 20074 39103 49956 57031=",
"36871099999","2020-07-21T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0236,1","+0138,1","10002,1",,,,,,"99999,9,09125,1","2,1,022,1,+999,9",,,"SYN04836871 46/70 /0000 10236 20138 39125 40002 52022=",
"36871099999","2020-07-21T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","110,1,N,0020,1","99999,9,9,N","013000,1,9,9","+0194,1","+0127,1","10049,1","00,0005,3,1",,,,"120,M,+0317,1","99999,9,09156,1","2,1,024,1,+999,9",,,"SYN06436871 16/63 /1102 10194 20127 39156 40049 52024 69950 333 10317=",
"36871099999","2020-07-21T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0219,1","+0077,1","10027,1",,,,,,"99999,9,09141,1","7,1,015,1,+999,9",,,"SYN04836871 46/70 /0000 10219 20077 39141 40027 57015=",
"36871099999","2020-07-22T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","150,1,N,0010,1","99999,9,9,N","020000,1,9,9","+0219,1","+0062,1","10027,1",,,,,,"99999,9,09141,1","4,1,000,1,+999,9",,,"SYN04836871 46/70 /1501 10219 20062 39141 40027 54000=",
"36871099999","2020-07-22T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0307,1","+0059,1","10000,1","00,0004,3,1",,,,,"99999,9,09141,1","7,1,004,1,+999,9",,,"SYN05436871 16/70 /0000 10307 20059 39141 40000 57004 69940=",
"36871099999","2020-07-22T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","290,1,N,0030,1","99999,9,9,N","019000,1,9,9","+0278,1","+0048,1","10002,1",,,,,,"99999,9,09134,1","7,1,007,1,+999,9",,"4,99,0100,1,999","SYN05836871 46/69 /2903 10278 20048 39134 40002 57007 333 91010=",
"36871099999","2020-07-22T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","270,1,N,0020,1","99999,9,9,N","004900,1,9,9","+0166,2","+0160,2","10079,1",,,,,,"99999,9,09176,1","2,1,042,1,+999,9",,,"SYN04836871 46/49 /2702 10166 20160 39176 40079 52042=",
"36871099999","2020-07-22T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","020000,1,9,9","+0232,1","+0061,1","10046,1","00,0040,3,1",,,,"120,M,+0307,1","99999,9,09162,1","7,1,028,1,+999,9",,,"SYN06436871 16/70 /2501 10232 20061 39162 40046 57028 60040 333 10307=",
"36871099999","2020-07-23T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0150,1","+0121,1","10059,1",,,,,,"99999,9,09152,1",,,,"SYN04836871 46/70 /0000 10150 20121 39152 40059 5////=",
"36871099999","2020-07-23T03:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0281,2","+0125,1","10014,1",,,,,,"99999,9,09148,1","7,1,004,1,+999,9",,,"SYN08036871 36/70 /0000 10281 20125 39148 40014 57004 333 4/997 55050 555 20150 7004/=",
"36871099999","2020-07-23T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0325,1","+0081,1","09998,1",,,,,,"99999,9,09144,1","7,1,004,1,+999,9",,,"SYN04836871 36/70 /0000 10325 20081 39144 49998 57004=",
"36871099999","2020-07-23T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","060,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0335,1","+0068,1","09993,1",,,,,,"99999,9,09142,1","7,1,002,1,+999,9",,,"SYN04836871 42/// /0602 10335 20068 39142 49993 57002=",
"36871099999","2020-07-23T12:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0306,1","+0078,1","09995,1",,,,,,"99999,9,09136,1","7,1,006,1,+999,9",,,"SYN04836871 46/70 /0000 10306 20078 39136 49995 57006=",
"36871099999","2020-07-23T15:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","+0231,1","+0080,1","10029,1",,,,,"240,M,+0336,1","99999,9,09147,1","2,1,011,1,+999,9",,,"SYN05836871 36/60 /0000 10231 20080 39147 40029 52011 333 10336=",
"36871099999","2020-07-23T18:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","017000,1,9,9","+0186,1","+0094,1","10049,1",,,,,"120,M,+0336,1","99999,9,09152,1","2,1,005,1,+999,9",,,"SYN05836871 36/67 /0000 10186 20094 39152 40049 52005 333 10336=",
"36871099999","2020-07-23T21:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0173,1","+0097,1","10043,1",,,,,,"99999,9,09143,1","7,1,009,1,+999,9",,,"SYN04836871 46/70 /0000 10173 20097 39143 40043 57009=",
"36871099999","2020-07-24T00:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","+0184,1","+0105,1","10037,1",,,,,,"99999,9,09141,1","7,1,002,1,+999,9",,,"SYN04836871 46/70 /0000 10184 20105 39141 40037 57002=",
"36871099999","2020-07-24T03:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","300,1,N,0020,1","99999,9,9,N","020000,1,9,9","+0271,1","+0071,1","10021,1",,,,,,"99999,9,09150,1","2,1,009,1,+999,9",,,"SYN08036871 36/70 /3002 10271 20071 39150 40021 52009 333 4/997 55073 555 20167 7000/=",
"36871099999","2020-07-24T06:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","018000,1,9,9","+0329,1","+0115,1","10021,1",,,,,,"99999,9,09167,1","2,1,017,1,+999,9",,,"SYN04836871 36/68 /0000 10329 20115 39167 40021 52017=",
"36871099999","2020-07-24T09:00:00","4","43.1833333","76.75","810.0","KARASAYSKY, KZ","FM-12","99999","V020","330,1,N,0010,1","99999,9,9,N","020000,1,9,9","+0282,1","+0104,1","10048,1",,,,,,"99999,9,09179,1","2,1,012,1,+999,9",,,"SYN04836871 46/70 /3301 10282 20104 39179 40048 52012=",
