latitude,longitude,altitude (m)
42.98053486,76.98735052,3978.1
42.98090034,76.98764679,3968.5
42.98142887,76.98796022,3954.2
42.98160639,76.98807845,3947.1
42.98191993,76.98828539,3939.7
42.98238901,76.98853288,3932
42.98275171,76.98872587,3927.1
42.98322692,76.98897079,3927.4
42.98369244,76.98921859,3916.5
42.98408489,76.98944586,3909.8
42.98443122,76.98969096,3888.4
42.98456126,76.98978331,3878.8
42.98493059,76.99007017,3853.3
42.98523024,76.99029046,3830
42.98544331,76.99044931,3813
42.98565993,76.99060758,3795.8
42.98601823,76.99085736,3765.9
42.98630294,76.99115208,3738.8
42.9865626,76.99146097,3709.7
42.98675793,76.99163552,3687
42.98701009,76.99183795,3662.5
42.98727217,76.99203692,3637.9
42.9873598,76.99210345,3629.8
42.9877495,76.99240777,3594.4
42.98814452,76.99271305,3561.9
42.98848115,76.99293549,3541
42.98887379,76.99318641,3526.8
42.98896276,76.99331393,3525.5
42.98922151,76.99346271,3521.6
42.98949786,76.99359984,3523.9
42.98972333,76.993706,3525.9
42.99014317,76.99399654,3531.4
42.99040501,76.99414277,3525.4
42.99061058,76.99426287,3521.2
42.99086514,76.99441461,3516.8
42.99106286,76.99459656,3518.5
42.99127239,76.9947137,3515
42.99158515,76.99489093,3509
42.99190268,76.99506401,3503.5
42.99235538,76.99534493,3493.6
42.99255802,76.99546914,3486.6
42.99286215,76.99565587,3475.9
42.99331357,76.9959423,3458.3
42.99366191,76.99616974,3435
42.99380837,76.99627083,3424.9
42.99404576,76.99644754,3408.5
42.99436143,76.99676542,3391.1
42.99459559,76.99699772,3377.9
42.99497059,76.99734387,3355
42.99544516,76.99776236,3325.1
42.99567594,76.99800492,3311.4
42.99613032,76.99831246,3287.3
42.99633571,76.99844559,3277.3
42.99679909,76.99874594,3254.4
42.9969538,76.99884657,3247.7
42.99731551,76.9990818,3231
42.99767829,76.99931773,3217.6
42.99799047,76.99951956,3207.9
42.99823481,76.99975246,3198.2
42.99866226,77.00000446,3185.3
42.99892799,77.00016566,3178.5
42.99924637,77.00036141,3168.6
42.99961847,77.00059019,3156.1
42.99977817,77.00068837,3149.8
43.0002618,77.00097282,3139.5
43.00061141,77.00107783,3138.4
43.00083048,77.00119443,3137.3
43.00118175,77.0012929,3138.5
43.0014017,77.00140652,3138.4
43.00180809,77.00153125,3138.5
43.00191789,77.00158799,3138.2
43.00213742,77.00170141,3137.6
