"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AL1","AY1","AY2","GA1","GA2","GA3","GE1","GF1","IA1","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"36870099999","2019-01-02T09:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","+0009,1","-0037,1","10281,1",,,,,,"03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,09261,1","2,1,002,1,+999,9",,,"SYN05436870 42597 80000 10009 21037 39261 40281 52002 83672=",
"36870099999","2019-01-02T12:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","+0010,1","-0040,1","10290,1",,,,,,"03,1,+00800,1,07,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,09271,1","2,1,010,1,+999,9",,,"SYN06436870 42597 80000 10010 21040 39271 40290 52010 8367/ 555 1/100=",
"36870099999","2019-01-02T15:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0018,1","-0038,1","10309,1",,,,"2,1,02,1","2,1,02,1","05,1,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,99999,9,99,9,99,9",,"240,M,+0017,1","99999,9,09278,1","2,1,007,1,+999,9","10,1",,"SYN07036870 319// 80000 11018 21038 39278 40309 52007 71022 85072 333 10017=",
"36870099999","2019-01-02T18:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","330,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0022,1","-0037,1","10312,1",,,,"2,1,02,1","2,1,02,1","06,1,+00800,1,09,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00800,1,99,9,99,9",,"120,M,+0017,1","99999,9,09279,1","2,1,001,1,+999,9","10,1",,"SYN07036870 315// 83301 11022 21037 39279 40312 52001 71022 8697/ 333 10017=",
"36870099999","2019-01-02T21:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","010,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0038,1","-0046,1","10320,1",,,,"2,1,02,1","2,1,02,1","05,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,99999,9,99,9,99,9",,,"99999,9,09280,1","2,1,001,1,+999,9","10,1",,"SYN06036870 419// 50101 11038 21046 39280 40320 52001 71022 85070=",
"36870099999","2019-01-03T00:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0052,1","-0059,1","10320,1",,,,"4,1,02,1","2,1,02,1","06,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9",,,"99999,9,09276,1","8,1,004,1,+999,9","28,1","3,99,0020,1,999","SYN08036870 419// 60000 11052 21059 39276 40320 58004 72842 86080 333 91102 555 1/108=",
"36870099999","2019-01-03T03:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","-0042,1","-0054,1","10324,1",,"0007,3,1,000700,9,9",,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,00,1,99,9,99999,9,99,9,99,9","27,9",,"99999,9,09282,1","3,1,006,1,+999,9",,,"SYN08636870 32998 60000 11042 21054 39282 40324 53006 80001 333 43007 55000 555 21056 7000/=","Q01    003SCCGA1"
"36870099999","2019-01-03T06:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","+0014,1","-0031,1","10294,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,"240,N,-0056,1","99999,9,09276,1","8,1,006,1,+999,9",,,"SYN06436870 32997 80000 10014 21031 39276 40294 58006 80001 333 21056=","Q01    003SCCGA1"
"36870099999","2019-01-03T09:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","+0023,1","-0034,1","10278,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09265,1","7,1,011,1,+999,9",,,"SYN05436870 42997 80000 10023 21034 39265 40278 57011 80001=","Q01    003SCCGA1"
"36870099999","2019-01-03T12:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","004000,1,9,9","-0006,1","-0023,1","10286,1",,,,"2,1,02,1","2,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09262,1","7,1,003,1,+999,9","10,1",,"SYN07036870 41996 80000 11006 21023 39262 40286 57003 71022 80002 555 1/106=","Q01    003SCCGA1"
"36870099999","2019-01-03T15:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0010,1","-0034,1","10265,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,"240,M,+0030,1","99999,9,09241,1","7,1,021,1,+999,9",,,"SYN06436870 329// 80000 11010 21034 39241 40265 57021 80001 333 10030=","Q01    003SCCGA1"
"36870099999","2019-01-03T18:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0020,1","-0048,1","10246,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,"120,M,+0030,1","99999,9,09220,1","7,1,021,1,+999,9",,,"SYN06436870 329// 80000 11020 21048 39220 40246 57021 80002 333 10030=","Q01    003SCCGA1"
"36870099999","2019-01-03T21:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0007,1","-0057,1","10221,1",,,,,,"08,1,+00800,1,09,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00800,1,99,9,99,9",,,"99999,9,09202,1","7,1,018,1,+999,9",,,"SYN05436870 425// 80000 11007 21057 39202 40221 57018 889//=",
"36870099999","2019-01-04T00:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0019,1","-0054,1","10208,1",,,,,,"03,1,+00800,1,09,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,09187,1","7,1,015,1,+999,9",,"3,99,0020,1,999","SYN07436870 425// 80000 11019 21054 39187 40208 57015 83932 333 91102 555 1/107=",
"36870099999","2019-01-04T03:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","22000,1,9,N","020000,1,9,9","-0013,1","-0069,1","10219,1",,"0006,3,1,000600,9,9",,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,00,1,99,9,99999,9,99,9,99,9","27,9",,"99999,9,09198,1","3,1,011,1,+999,9",,,"SYN08636870 32998 40000 11013 21069 39198 40219 53011 80001 333 43006 55062 555 21037 7000/=","Q01    003SCCGA1"
"36870099999","2019-01-04T06:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","22000,1,9,N","020000,1,9,9","+0062,1","-0054,1","10168,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9",,"240,N,-0037,1","99999,9,09178,1","8,1,020,1,+999,9",,,"SYN06436870 32998 20000 10062 21054 39178 40168 58020 80001 333 21037=","Q01    003SCCGA1"
"36870099999","2019-01-04T09:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","+0031,1","-0020,1","10175,1",,,,,,"05,1,+01250,1,09,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,01250,1,99,9,99,9",,,"99999,9,09175,1","7,1,003,1,+999,9",,,"SYN05436870 42697 80000 10031 21020 39175 40175 57003 85901=",
"36870099999","2019-01-04T12:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0003,1","-0026,1","10205,1",,,,"8,1,02,1","2,1,02,1","03,1,+01250,1,09,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,01250,1,99,9,99,9",,,"99999,9,09189,1","3,1,014,1,+999,9","02,1",,"SYN07036870 416// 80000 11003 21026 39189 40205 53014 70282 83901 555 1/100=",
"36870099999","2019-01-04T18:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0031,1","-0035,1","10240,1","00,0000,9,1",,,"2,1,02,1","2,1,02,1","08,1,+99999,9,05,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,99999,9,99,9,99,9",,"120,M,+0064,1","99999,9,09211,1","2,1,008,1,+999,9","10,1",,"SYN07636870 119// 80000 11031 21035 39211 40240 52008 69900 71022 8802/ 333 10064=","Q01  00002PRCP00"
"36870099999","2019-01-04T21:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0029,1","-0055,1","10253,1",,,,,,"08,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,99999,9,99,9,99,9",,,"99999,9,09223,1","2,1,012,1,+999,9",,,"SYN05436870 429// 80000 11029 21055 39223 40253 52012 8803/=",
"36870099999","2019-01-05T00:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0053,1","-0063,1","10276,1",,,,"2,1,02,1","2,1,02,1","02,1,+00800,1,07,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,09235,1","2,1,012,1,+999,9","10,1","3,99,0030,1,999","SYN08036870 415// 80000 11053 21063 39235 40276 52012 71022 8263/ 333 91103 555 1/104=",
"36870099999","2019-01-05T03:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","004000,1,9,9","-0041,1","-0050,1","10299,1",,"0006,3,1,000600,9,9",,"2,1,02,1","2,1,02,1","08,1,+00800,1,09,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00800,1,99,9,99,9","27,9",,"99999,9,09261,1","3,1,026,1,+999,9","10,1",,"SYN09836870 31596 80000 11041 21050 39261 40299 53026 71022 889// 333 43006 55053 555 21053 3/104 7990/=",
"36870099999","2019-01-05T06:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","004000,1,9,9","-0043,1","-0055,1","10322,1",,,,"8,1,02,1","2,1,02,1","08,1,+00800,1,09,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00800,1,99,9,99,9",,"240,N,-0053,1","99999,9,09280,1","2,1,019,1,+999,9","10,1",,"SYN07036870 31596 80000 11043 21055 39280 40322 52019 71082 889// 333 21053=",
"36870099999","2019-01-05T09:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","020,1,N,0010,1","99999,9,9,N","004000,1,9,9","-0037,1","-0058,1","10318,1",,,,"2,1,02,1","2,1,02,1","05,1,+00800,1,09,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00800,1,99,9,99,9",,,"99999,9,09279,1","8,1,001,1,+999,9","10,1",,"SYN06036870 41596 80201 11037 21058 39279 40318 58001 71022 8597/=",
"36870099999","2019-01-05T12:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","010,1,N,0010,1","99999,9,9,N","004000,1,9,9","-0048,1","-0064,1","10345,1",,,,"2,1,02,1","2,1,02,1","08,1,+00800,1,09,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00800,1,99,9,99,9",,,"99999,9,09299,1","3,1,020,1,+999,9","10,1",,"SYN07036870 41596 80101 11048 21064 39299 40345 53020 71022 889// 555 1/103=",
"36870099999","2019-01-05T18:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0061,1","-0069,1","10375,1","00,0000,9,1",,,"2,1,02,1","2,1,02,1","08,1,+00450,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,"120,M,-0030,1","99999,9,09321,1","2,1,005,1,+999,9","10,1",,"SYN07636870 114// 80000 11061 21069 39321 40375 52005 69900 71022 886// 333 11030=","Q01  00002PRCP00"
"36870099999","2019-01-05T21:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0062,1","-0070,1","10375,1",,,,"2,1,02,1","2,1,02,1","08,1,+00450,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,,"99999,9,09321,1","4,1,000,1,+999,9","10,1",,"SYN06036870 414// 81401 11062 21070 39321 40375 54000 71022 886//=",
"36870099999","2019-01-06T00:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","120,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0064,1","-0076,1","10363,1",,,,"2,1,02,1","2,1,02,1","08,1,+00450,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,,"99999,9,09310,1","8,1,011,1,+999,9","10,1","3,99,0020,1,999","SYN08036870 414// 81201 11064 21076 39310 40363 58011 71022 886// 333 91102 555 1/105=",
"36870099999","2019-01-06T03:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","220,1,N,0010,1","99999,9,9,N","004000,1,9,9","-0069,1","-0081,1","10362,1",,"0006,3,1,000600,9,9",,"2,1,02,1","2,1,02,1","08,1,+00450,1,07,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9","27,9",,"99999,9,09307,1","7,1,003,1,+999,9","10,1",,"SYN09236870 31496 82201 11069 21081 39307 40362 57003 71022 886// 333 43006 55000 555 21069 7990/=",
"36870099999","2019-01-06T06:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","-0037,1","-0072,1","10339,1",,,,,,"02,1,+00450,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,00450,1,99,9,99,9",,"240,N,-0069,1","99999,9,09298,1","7,1,009,1,+999,9",,,"SYN06436870 32497 80000 11037 21072 39298 40339 57009 82631 333 21069=",
"36870099999","2019-01-06T09:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","-0012,1","-0067,1","10309,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09280,1","7,1,018,1,+999,9",,,"SYN05436870 42997 80000 11012 21067 39280 40309 57018 80001=","Q01    003SCCGA1"
"36870099999","2019-01-06T12:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","-0039,1","-0067,1","10307,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09268,1","7,1,012,1,+999,9",,,"SYN06436870 42997 80000 11039 21067 39268 40307 57012 80001 555 1/109=","Q01    003SCCGA1"
"36870099999","2019-01-06T15:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0058,1","-0080,1","10307,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,"240,M,-0005,1","99999,9,09261,1","7,1,007,1,+999,9",,,"SYN06436870 329// 80000 11058 21080 39261 40307 57007 80001 333 11005=","Q01    003SCCGA1"
"36870099999","2019-01-06T18:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0070,1","-0083,1","10290,1",,,,"2,1,02,1","2,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,"120,M,-0005,1","99999,9,09242,1","7,1,019,1,+999,9","10,1",,"SYN07036870 319// 80000 11070 21083 39242 40290 57019 71022 80001 333 11005=","Q01    003SCCGA1"
"36870099999","2019-01-06T21:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0088,1","-0099,1","10276,1",,,,"2,1,02,1","2,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09222,1","7,1,020,1,+999,9","10,1",,"SYN06036870 419// 80000 11088 21099 39222 40276 57020 71022 80001=","Q01    003SCCGA1"
"36870099999","2019-01-07T00:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0092,1","-0112,1","10247,1",,,,"2,1,02,1","2,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","08,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09194,1","7,1,028,1,+999,9","10,1","3,99,0030,1,999","SYN08036870 419// 80000 11092 21112 39194 40247 57028 71022 80001 333 91103 555 1/114=","Q01    003SCCGA1"
"36870099999","2019-01-07T03:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","-0084,1","-0111,1","10226,1",,"0006,3,1,000600,9,9",,,,,,,,"00,99,5,99,9,99,9,99999,9,99,9,99,9","27,9",,"99999,9,09179,1","7,1,015,1,+999,9",,,"SYN08036870 32998 00000 11084 21111 39179 40226 57015 333 43006 55048 555 21092 7000/=",
"36870099999","2019-01-07T06:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","020000,1,9,9","-0001,1","-0086,1","10166,1",,,,,,,,,,"00,99,5,99,9,99,9,99999,9,99,9,99,9",,"240,N,-0092,1","99999,9,09155,1","7,1,024,1,+999,9",,,"SYN05836870 32998 00000 11001 21086 39155 40166 57024 333 21092=",
"36870099999","2019-01-07T09:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","020,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0015,1","-0076,1","10134,1",,,,,,,,,,"00,99,5,99,9,99,9,99999,9,99,9,99,9",,,"99999,9,09132,1","7,1,023,1,+999,9",,,"SYN04836870 42997 00201 10015 21076 39132 40134 57023=",
"36870099999","2019-01-07T12:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","010000,1,9,9","-0025,1","-0070,1","10143,1",,,,,,,,,,"00,99,5,99,9,99,9,99999,9,99,9,99,9",,,"99999,9,09126,1","7,1,006,1,+999,9",,,"SYN05836870 42997 00000 11025 21070 39126 40143 57006 555 1/108=",
"36870099999","2019-01-07T15:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0049,1","-0069,1","10152,1",,,,,,,,,,"00,99,5,99,9,99,9,99999,9,99,9,99,9",,"240,M,+0022,1","99999,9,09125,1","7,1,001,1,+999,9",,,"SYN05836870 329// 00000 11049 21069 39125 40152 57001 333 10022=",
"36870099999","2019-01-07T18:00:00","4","43.2333333","76.9333333","851.0","ALMATY, KZ","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","999999,9,9,9","-0060,1","-0082,1","10157,1",,,,,,,,,,"00,99,5,99,9,99,9,99999,9,99,9,99,9",,"120,M,+0022,1","99999,9,09126,1","3,1,001,1,+999,9",,,"SYN05836870 329// 00000 11060 21082 39126 40157 53001 333 10022=",
